Contig,Site_class,Pair_1,Pair_2,N_matched_windows,Mean_difference,Wilcoxon_statistic,Raw_p,FDR_p
3R,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.00327751440195777,67.0,0.017719471291181378,0.03322400867096508
3R,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.0032641394609721898,35.0,0.005142157370610374,0.011427016379134163
3R,0-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,25,-0.003251642389085953,48.0,0.010817068032832248,0.021634136065664496
3R,0-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,1.3374940985580452e-05,121.0,0.8582823598181881,0.9141117167356431
3R,0-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Mali_Faladje,25,2.5872012871817133e-05,122.0,0.8838460571465129,0.9143235073929443
3R,0-fold,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,25,1.2497071886236749e-05,108.0,0.7943374591300819,0.8801087155886156
3R,4-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,BurkinaFaso_BanaVillage_vs_Mali_Faladje,25,0.0006950521050325602,29.0,0.02454049897109125,0.04461908903834772
3R,4-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,25,0.00029615139884853057,58.0,0.23105922995345296,0.3013816042871125
3R,4-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.003885729945364517,52.0,0.005110260660855864,0.011427016379134163
3R,4-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.003566388606144281,42.0,0.010628323936509337,0.021634136065664496
3R,4-fold,BurkinaFaso_BanaVillage_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,25,-0.004155608449717681,39.0,0.002603199399433283,0.007099634725727136
3R,4-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,25,-0.0003989007061840296,39.0,0.07586833499439012,0.12097566854474405
3R,4-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.004580782050397077,23.0,0.00046925417321687623,0.002508100845665944
3R,4-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.004261440711176841,16.0,0.0005434218498942879,0.002508100845665944
3R,4-fold,BurkinaFaso_BanaVillage_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,25,-0.004850660554750242,9.0,8.726126784231121e-05,0.0019775083347424996
3R,4-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,25,-0.004181881344213048,38.0,0.0023540622219814507,0.006725892062804145
3R,4-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,-0.003862540004992811,36.0,0.005723186500070235,0.012263971071579075
3R,4-fold,Guinea_Siguiri_Dankakoro_vs_Mali_Faladje,Nigeria_Gombe_vs_Mali_Faladje,25,-0.004451759848566212,15.0,0.0002946941121244842,0.0022102058409336316
3R,4-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,25,0.0003193413392202367,146.0,0.9090113066460508,0.9244182779451364
3R,4-fold,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,Nigeria_Gombe_vs_Mali_Faladje,25,-0.00026987850435316365,108.0,0.3615326171890033,0.4419319152832031
3R,4-fold,Nigeria_Gombe_vs_Guinea_Siguiri_Dankakoro,Nigeria_Gombe_vs_Mali_Faladje,25,-0.0005892198435734005,117.0,0.3457539786772782,0.4321924733465977
