Pair_ID,Pair_label,Nigeria_status,Contig,Region,N_sites_0fold,N_sites_4fold,Low_sites_0fold,Low_sites_4fold
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:37200685-38200684,40318,10427,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:38200685-39200684,15162,3935,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:39200685-40200684,4046,929,False,True
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:40200685-41200684,943,154,True,True
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:41200685-42200684,25544,6292,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:42200685-43200684,20567,4926,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:43200685-44200684,58548,15577,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:44200685-45200684,29111,7524,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:45200685-46200684,32093,8172,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:46200685-47200684,27275,6874,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:47200685-48200684,61531,15586,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:48200685-49200684,46164,11478,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:49200685-50200684,43712,10742,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:50200685-51200684,34569,8386,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:51200685-52200684,53535,13121,False,False
Nigeria_Gombe_vs_Mali_Faladje,NG_Gombe vs ML_Faladje,With Nigeria_Gombe,3R,3R:52200685-53200684,11296,2594,False,False
