Comparison_group,Pair_ID,Pair_short,Pair_label,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Distance_from_CEN_midpoint_Mb,Site_class,FST_estimate,Jackknife_standard_error,FST_to_SE_ratio,n_jack,Run_status,Error_message
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:38200685-39200684,14.5,0-fold,0.0006504234247517,0.0008899599814404,0.7308456990380509,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:37200685-38200684,15.5,4-fold,0.0006553237305582,0.0002752029571016,2.3812379687339846,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:37200685-38200684,15.5,0-fold,0.0,0.0004462904427552,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:36200685-37200684,16.5,4-fold,0.0008747325188383,0.0003265491562244,2.678716212138047,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:36200685-37200684,16.5,0-fold,0.0006269715339049,0.0004271802728993,1.467697769959282,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:35200685-36200684,17.5,4-fold,0.0009568951245651,0.0002779824515531,3.4422860839556075,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:35200685-36200684,17.5,0-fold,0.0,0.0003091568556624,0.0,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:34200685-35200684,18.5,4-fold,0.0004996827352987,0.000542888736723,0.9204146291833178,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:34200685-35200684,18.5,0-fold,0.000128636113838,0.0007633658285058,0.1685117528640105,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:33200685-34200684,19.5,4-fold,5.609204982610479e-05,0.0004953934812887,0.11322726669755284,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:33200685-34200684,19.5,0-fold,0.002137144195506,0.0010707471546122,1.9959373100365834,20,success,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:32200685-33200684,20.5,4-fold,0.0002435771572002,0.000455761722842,0.5344396973078879,20,success,
