Analysis,Pair_ID,Pair_short,Pair_label,Comparison_group,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,Country_pair,Location_pair,N_population_1,N_population_2,Minimum_pair_population_size,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,Site_class,MalariaGEN_site_class_argument,Site_mask,FST_formula,FST_estimate,Jackknife_standard_error,n_jack,Run_status,Error_message,FST_to_SE_ratio
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:42200685-43200684,42200685,43200684,10000000,11000000,10.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0010281259485409,0.0008407332741975,20,success,,1.2228919445614554
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:42200685-43200684,42200685,43200684,10000000,11000000,10.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,2.2230764508909957e-05,0.0007586076038188,20,success,,0.0293046950716038
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:41200685-42200684,41200685,42200684,11000000,12000000,11.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0001479203678039,0.0004968665222496,20,success,,0.2977064486739408
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:41200685-42200684,41200685,42200684,11000000,12000000,11.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0,0.0006832264616171,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:40200685-41200684,40200685,41200684,12000000,13000000,12.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0,0.0017187903549507,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:40200685-41200684,40200685,41200684,12000000,13000000,12.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0071479525770195,0.0047928887316693,20,success,,1.491366267234408
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:39200685-40200684,39200685,40200684,13000000,14000000,13.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0,0.0015637417619259,20,success,,0.0
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:39200685-40200684,39200685,40200684,13000000,14000000,13.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,1.743822251704557e-06,0.0011149609765681,20,success,,0.0015640208835578447
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:38200685-39200684,38200685,39200684,14000000,15000000,14.5,1000000,4-fold,CDS_DEG_4,default,Average Hudson's FST,0.0005409007171119,0.0005416813590537,20,success,,0.9985588539669082
Selected_6pairs_1Mb_scan_3R_X,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,With Nigeria,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,Nigeria vs Burkina Faso,Gombe vs Bana Village,57,120,57,3R,3R:38200685-39200684,38200685,39200684,14000000,15000000,14.5,1000000,0-fold,CDS_DEG_0,default,Average Hudson's FST,0.0006504234247517,0.0008899599814404,20,success,,0.7308456990380509
