Comparison_group,Pair_ID,Pair_short,Pair_label,Population_1,Population_2,Country_1,Country_2,Location_1,Location_2,N_population_1,N_population_2,Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,FST0,FST4,Total_sites_available,N_sites_FST4,N_sites_FST0,Pair_order,FST4_above_0p05,FST0_above_0p05,Either_FST_above_0p05,FST4_class_specific,FST0_class_specific,FST4_joint_window,FST0_joint_window
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:30200685-31200684,30200685,31200684,22000000,23000000,22.5,1000000,0.0002066551791601,0.0001519153914942,,10926,41533,1,False,False,False,0.0001519153914942,0.0002066551791601,0.0001519153914942,0.0002066551791601
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:29200685-30200684,29200685,30200684,23000000,24000000,23.5,1000000,0.0010330731341933,0.0030552897337222,,4146,15604,1,False,False,False,0.0030552897337222,0.0010330731341933,0.0030552897337222,0.0010330731341933
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,3R,3R:28200685-29200684,28200685,29200684,24000000,25000000,24.5,1000000,0.0493537621317644,0.0704638363028301,,10912,40164,1,True,False,True,,0.0493537621317644,,
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:23393109-24393108,23393109,24393108,0,1000000,0.5,1000000,0.0025753995167423,0.0,,1995,7769,1,False,False,False,0.0,0.0025753995167423,0.0,0.0025753995167423
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:22393109-23393108,22393109,23393108,1000000,2000000,1.5,1000000,0.0003578898565065,0.0002915536614179,,913,3779,1,False,False,False,0.0002915536614179,0.0003578898565065,0.0002915536614179,0.0003578898565065
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:21393109-22393108,21393109,22393108,2000000,3000000,2.5,1000000,0.0047385723602226,0.0027330307663706,,1008,4241,1,False,False,False,0.0027330307663706,0.0047385723602226,0.0027330307663706,0.0047385723602226
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:20393109-21393108,20393109,21393108,3000000,4000000,3.5,1000000,0.0,0.0050334829298915,,1004,4346,1,False,False,False,0.0050334829298915,0.0,0.0050334829298915,0.0
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:19393109-20393108,19393109,20393108,4000000,5000000,4.5,1000000,0.0037370785774155,0.0016652480930722,,7559,26297,1,False,False,False,0.0016652480930722,0.0037370785774155,0.0016652480930722,0.0037370785774155
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:18393109-19393108,18393109,19393108,5000000,6000000,5.5,1000000,0.0028432302434457,0.0048461181316303,,8599,30246,1,False,False,False,0.0048461181316303,0.0028432302434457,0.0048461181316303,0.0028432302434457
With Nigeria,Nigeria_Gombe_vs_BurkinaFaso_BanaVillage,NG_Gombe_vs_BF_BanaVil,NG_Gombe vs BF_BanaVil,Nigeria_Gombe,BurkinaFaso_BanaVillage,Nigeria,Burkina Faso,Gombe,Bana Village,57,120,X,X:17393109-18393108,17393109,18393108,6000000,7000000,6.5,1000000,0.0062726746226581,0.004089755795752,,7663,26828,1,False,False,False,0.004089755795752,0.0062726746226581,0.004089755795752,0.0062726746226581
